"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-03","59","-0.52","-1.05","-30.54"
"1928-12","1935-03","46","-0.6","-1.77","-27.5"
"1935-05","1936-10","17","-0.63","-1.35","-10.78"
"1941-05","1948-02","61","-0.67","-1.82","-40.72"
"1949-01","1950-11","22","-0.7","-1.35","-15.48"
"1952-03","1954-12","31","-0.92","-2.02","-28.53"
"1955-07","1961-11","51","-0.52","-1.52","-26.45"
"1962-11","1971-01","29","-0.55","-1.11","-16.09"
"1971-10","1979-01","87","-1.1","-2.08","-95.83"
"1980-02","1982-01","11","-0.8","-1.26","-8.77"
"1983-04","1985-10","30","-0.9","-1.45","-27"
"1986-02","1996-11","42","-0.6","-1.85","-25.34"
"1998-01","2002-01","48","-1.22","-2.63","-58.44"
"2003-10","2004-01","3","-0.66","-1.2","-1.97"
"2007-10","2014-01","71","-0.89","-1.89","-63.31"
"2017-09","2019-12","4","-0.13","-0.18","-0.51"
