"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1185.2,96,69.9,77.9,62.9,80,0.63,178,36,0.63,53.7,58.2,"RS25_MO"
"Max",2951.9,127,74.3,82.5,67.6,86,0.68,208,55,0.68,68.7,70.9,NA
"Min",0.1,71,63.3,71.2,56,70,0.59,158,26,0.68,43.8,44.4,NA
