"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",11,8.1,9.5,8.5,7.3,9.4,10.5,7.8,8.3,10.4,12.4,8.8,96
"Min TA [°F]",59.7,59.6,60.2,61.6,63.1,64.7,65.6,66.3,65.8,64.9,63.4,61.2,62.9
"Mean TA [°F]",66.6,66.5,67,68.5,70.1,71.8,72.5,73.4,72.8,72.2,69.7,67.6,69.9
"Max TA [°F]",75.3,75.1,75.4,76.4,78,79.7,80.3,81.3,81.5,80.2,77.6,75.6,77.9
"RH [%]",80,79,80,81,81,81,80,79,79,80,80,79,80
"CF [%]",59,67,71,68,66,64,63,59,50,64,64,61,63
"ET [in]",3,2,3,3,3,3,3,3,3,3,3,2,36
"SM [%]",64,64,63,63,61,62,65,63,61,64,67,66,63
"S [W m/2]",144,161,175,188,214,211,200,208,209,161,133,131,178
