"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",243.4,15,73.8,81.8,66.8,72,0.35,243,25,0.36,6.5,16.5,"Rs43_MO"
"Max",934.8,27,74.7,82.7,67.8,79,0.9,251,81,0.41,10.7,22.1,NA
"Min",0,11,71.3,79.7,64.3,70,0.25,233,16,0.41,3.9,11.9,NA
