"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"NOV",3.6,"SEL",14,3.42,0.5,-0.18,-3.1,0.48,0.59,0.13,0.16,10.8,7.63,1.8,-23.4,-66.4
"NOV",3.6,"WEL",12,2.2,1,-1.4,-2.7,0.31,0.39,0.17,0.21,10.8,8.4,2.6,-17.7,-60.5
"NOV",3.6,"NUT",22,3.8,0.7,0.2,0.7,0.53,0.5,0.15,0.08,10.8,12.1,2.7,9.6,-59.8
"NOV",3.6,"WLA",11,4.4,0.9,0.8,-2.7,0.62,0.5,0.17,0.16,10.8,12.7,1.1,14,-71.6
"NOV",3.6,"SLA",11,4,0.3,0.4,-3.3,0.56,0.46,0.12,0.13,10.8,12.2,0.9,10.3,-73.1
"DEC",3,"SEL",13,2.12,0.7,-0.88,-2.3,0.33,0.37,0.13,0.12,9.4,5.48,1.8,-32.3,-62.6
"DEC",3,"WEL",11,2.9,0.6,-0.1,-3,0.48,0.55,0.12,0.11,9.4,8.5,2.4,-7.4,-57.6
"DEC",3,"NUT",22,3,0.8,0,0.8,0.5,0.51,0.14,0.11,9.4,10.5,2.5,9,-56.8
"DEC",3,"WLA",11,3.8,0,0.8,-3,0.65,0.56,0.07,0.08,9.4,11.2,0.7,14.8,-71.6
"DEC",3,"SLA",9,3.5,0.4,0.5,-2.6,0.6,0.51,0.1,0.11,9.4,9.6,0.9,1.6,-70
