"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1366.8,53,69.5,77.8,62.4,81,0.49,179,24,0.62,20.7,32.7,"RS08_BI"
"Max",2106,72,73,81,66,85,0.55,186,35,0.63,30.5,41.4,NA
"Min",430.1,38,66.6,75.1,59.4,75,0.43,172,19,0.63,12.9,24.9,NA
