"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.4,2,1.5,0.9,1.1,0.5,0.4,0.4,0.6,0.6,1.9,2.8,16
"Min TA [°F]",61,60.9,61.8,63.2,64.5,66.2,67.2,68,67.5,66.7,65,62.6,64.6
"Mean TA [°F]",68.1,68,68.8,70.3,71.8,73.6,74.5,75.2,74.6,74.3,71.8,69.4,71.7
"Max TA [°F]",77.2,77,77.6,78.7,80,81.8,82.6,83.5,83.5,82.8,80.3,78,80.3
"RH [%]",79,78,78,79,79,79,78,78,77,78,79,78,78
"CF [%]",41,44,50,53,50,50,47,44,43,44,43,38,45
"ET [in]",2,2,2,1,1,1,0,0,1,1,1,1,13
"SM [%]",43,42,34,26,23,19,8,6,11,14,27,38,24
"S [W m/2]",180,205,221,239,232,229,224,218,201,192,176,170,207
