"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1923-02","14","-0.42","-1","-5.88"
"1924-03","1929-12","35","-0.54","-1.66","-18.96"
"1931-01","1932-02","13","-1.07","-1.54","-13.96"
"1933-02","1943-01","61","-0.46","-1.04","-27.94"
"1944-01","1944-03","2","-1.47","-1.59","-2.93"
"1944-05","1946-01","20","-0.57","-2.66","-11.46"
"1946-04","1948-02","21","-0.36","-1.34","-7.54"
"1949-09","1955-01","37","-0.99","-2.23","-36.47"
"1955-04","1958-03","22","-0.48","-1.08","-10.52"
"1958-12","1961-11","23","-0.81","-1.82","-18.63"
"1962-11","1965-01","11","-0.73","-1.22","-8.03"
"1966-11","1970-11","12","-0.64","-1.16","-7.73"
"1972-01","1974-02","25","-1.08","-2.24","-27.02"
"1975-01","1979-02","48","-0.9","-2.45","-43.35"
"1981-02","1982-01","11","-0.7","-1.1","-7.68"
"1983-03","1985-11","32","-0.54","-1.29","-17.4"
"1986-11","1992-12","32","-0.52","-1.43","-16.61"
"1993-12","1996-11","34","-0.5","-1.56","-16.96"
"1998-03","2002-04","49","-1.82","-2.56","-89.23"
"2003-05","2006-03","34","-0.36","-1.27","-12.2"
"2006-09","2007-12","3","-0.66","-1.03","-1.99"
"2008-11","2009-03","4","-0.4","-1","-1.59"
"2009-12","2011-01","13","-1.19","-1.73","-15.47"
"2011-12","2014-02","26","-1.64","-2.28","-42.59"
"2016-02","2019-12","19","-0.17","-0.49","-3.23"
