"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",886.4,16,71.7,80.3,64.6,78,0.24,207,13,0.45,3.7,12.6,"RS16_MA"
"Max",1517.7,21,73.2,81.7,66.2,82,0.31,210,18,0.47,5.9,14.8,NA
"Min",448.1,13,69.6,78.4,62.3,75,0.19,204,10,0.47,2.3,11,NA
