,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,116.98898428613012,4.60586552307599,4.60586552307599
1219,1219,2021.0,August,110.2441669506031,4.340321533488312,4.340321533488312
1220,1220,2021.0,September,103.36015902508746,4.069297599412892,4.069297599412892
1221,1221,2021.0,October,18.94820779758496,0.7459924329757855,0.7459924329757855
1222,1222,2021.0,November,18.71882744673844,0.7369617105015135,0.7369617105015135
1223,1223,2021.0,December,138.0186888726203,5.433806648528358,5.433806648528358
1224,1224,2022.0,January,14.941860188494672,0.5882622121454596,0.5882622121454596
1225,1225,2022.0,February,17.06229987511268,0.6717440895713653,0.6717440895713653
1226,1226,2022.0,March,52.78435271126883,2.078124122490899,2.078124122490899
1227,1227,2022.0,April,89.88123849722055,3.538631436898448,3.538631436898448
1228,1228,2022.0,May,68.95765795026507,2.7148684232387827,2.7148684232387827
1229,1229,2022.0,June,219.5518325973343,8.643772936902925,8.643772936902925
