,Month,NDVI,Year
0,July,0.2584362637362637,2021.0
1,August,0.5915642857142858,2021.0
2,September,0.799707142857143,2021.0
3,October,0.8222153846153846,2021.0
4,November,0.8408178571428573,2021.0
5,December,0.7908236263736264,2021.0
6,January,0.8337098901098902,2022.0
7,February,0.803118131868132,2022.0
8,March,0.5986123626373627,2022.0
9,April,0.3292093406593407,2022.0
10,May,0.5142563186813187,2022.0
11,June,0.5768873626373626,2022.0
