"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-04","51","-0.79","-1.95","-40.4"
"1928-12","1936-04","46","-0.67","-2.11","-30.85"
"1939-02","1942-07","19","-0.81","-1.67","-15.43"
"1942-09","1946-01","26","-0.69","-1.94","-17.84"
"1947-02","1954-07","41","-0.65","-1.79","-26.79"
"1957-11","1958-10","11","-0.46","-1","-5.1"
"1958-11","1974-03","63","-0.57","-2.65","-35.75"
"1975-06","1978-10","40","-0.97","-1.6","-38.79"
"1979-10","1980-07","9","-0.8","-1.4","-7.16"
"1980-08","1981-12","14","-0.57","-1.24","-7.96"
"1983-10","1987-02","40","-1.19","-2.54","-47.5"
"1987-03","1994-06","30","-0.39","-2.15","-11.81"
"1994-07","1995-12","14","-1.1","-1.82","-15.38"
"1998-01","2002-05","52","-1.16","-2.29","-60.45"
"2002-11","2004-08","21","-0.57","-1.21","-12.05"
"2005-11","2006-03","4","-0.96","-1.28","-3.83"
"2007-03","2009-03","24","-1.22","-2.06","-29.37"
"2010-01","2012-03","26","-0.82","-2.36","-21.34"
"2012-11","2014-02","15","-1.15","-2.23","-17.26"
"2015-02","2018-02","36","-0.66","-1.14","-23.69"
"2019-08","2019-12","4","-0.22","-0.26","-0.89"
