"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.3,5.6,7.2,5.1,5,3.7,4.5,4.6,4.4,6.2,8.4,7.3,68
"Min TA [°F]",62.6,62.6,63.3,64.5,65.8,67.5,68.4,69.1,68.7,67.9,66.4,64.2,65.9
"Mean TA [°F]",69.3,69.4,69.9,71.1,72.6,74.4,75.1,75.8,75.6,74.9,72.6,70.5,72.6
"Max TA [°F]",77.8,77.9,78.2,78.8,80.1,81.9,82.6,83.4,84,82.7,80.4,78.4,80.6
"RH [%]",75,74,74,74,74,73,73,73,73,74,75,75,74
"CF [%]",52,59,66,64,58,54,50,49,47,53,53,55,55
"ET [in]",3,3,4,4,5,4,5,5,5,4,3,3,48
"SM [%]",62,61,62,61,57,55,54,55,55,58,64,65,59
"S [W m/2]",160,186,195,226,249,258,256,253,247,196,163,145,211
