"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",400.4,68,72.6,80.6,65.9,74,0.59,211,48,0.55,28.4,39.8,"Rs38_KA"
"Max",804.2,87,73.7,81.7,67,77,1,226,81,0.6,37.1,49.5,NA
"Min",78.5,51,71.2,79.2,64.6,72,0.49,194,27,0.6,20.6,30.5,NA
