,Month,RF_in,rolledMonth,RF
0,January,10.384372785246962,July,8.518675466211633
1,February,7.903063591221397,August,6.319520125446815
2,March,10.554692753531379,September,6.76955196197797
3,April,7.5636305504270345,October,8.275598793152945
4,May,6.153432078094758,November,9.313611390544137
5,June,5.940083853840743,December,9.862877912705272
6,July,8.518675466211633,January,10.384372785246962
7,August,6.319520125446815,February,7.903063591221397
8,September,6.76955196197797,March,10.554692753531379
9,October,8.275598793152945,April,7.5636305504270345
10,November,9.313611390544137,May,6.153432078094758
11,December,9.862877912705272,June,5.940083853840743
