"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1317.1,39,70,78.6,62.9,81,0.43,232,25,0.39,13.6,25,"RS05_BI"
"Max",1856.2,57,72,80.5,64.9,84,0.5,239,31,0.4,20.1,36.4,NA
"Min",792.7,23,68.1,76.7,60.8,78,0.34,225,20,0.4,8,15.5,NA
