"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",4.7,3.4,5.2,3.9,2.4,2.7,2.6,2.3,1.6,1.9,3.5,4.2,39
"Min TA [°F]",59.4,59.3,60.2,61.5,62.7,64.5,65.4,66.1,65.6,64.9,63.4,61,62.9
"Mean TA [°F]",66.7,66.5,67.3,68.6,70.1,71.9,72.6,73.4,72.9,72.6,70.2,67.8,70
"Max TA [°F]",75.9,75.6,76.2,77,78.2,80,80.7,81.6,81.8,81.1,78.8,76.5,78.6
"RH [%]",81,81,81,82,82,83,81,81,80,81,81,81,81
"CF [%]",38,41,48,46,43,38,33,30,31,41,41,37,39
"ET [in]",2,2,2,3,2,2,2,2,2,2,2,2,25
"SM [%]",50,49,50,50,43,40,40,39,35,33,41,47,43
"S [W m/2]",182,214,227,256,257,272,277,274,253,211,183,176,232
