,Month,RF_in,rolledMonth,RF
0,January,7.132067213878374,July,3.038174736833866
1,February,6.6872437436394865,August,2.9017686268635496
2,March,8.300342513175515,September,2.120701353597493
3,April,6.726085249164347,October,3.2364551429665815
4,May,3.2830371819343154,November,6.062962503756592
5,June,1.797564706405699,December,8.024302442361256
6,July,3.038174736833866,January,7.132067213878374
7,August,2.9017686268635496,February,6.6872437436394865
8,September,2.120701353597493,March,8.300342513175515
9,October,3.2364551429665815,April,6.726085249164347
10,November,6.062962503756592,May,3.2830371819343154
11,December,8.024302442361256,June,1.797564706405699
