,Month,NDVI,Year
0,July,0.25907882653061226,2021.0
1,August,0.28098622448979593,2021.0
2,September,0.4097581632653061,2021.0
3,October,0.4394627551020408,2021.0
4,November,0.3788377551020409,2021.0
5,December,0.5523295918367347,2021.0
6,January,0.6782938775510204,2022.0
7,February,0.5132283163265307,2022.0
8,March,0.3574808673469388,2022.0
9,April,0.3151951530612245,2022.0
10,May,0.3488043367346939,2022.0
11,June,0.41170510204081634,2022.0
