,datetime,ET,Month
0,2001-01-01,34.02448979591837,1
1,2001-01-09,13.232653061224491,1
2,2001-01-17,11.360204081632654,1
3,2001-01-25,13.257653061224492,1
4,2001-02-02,14.606632653061226,2
5,2001-02-10,19.21166666666667,2
6,2001-02-18,14.484183673469389,2
7,2001-02-26,20.366477272727273,2
8,2001-03-06,21.00918367346939,3
9,2001-03-14,21.968877551020412,3
10,2001-03-22,14.748469387755103,3
11,2001-03-30,15.830136986301369,3
12,2001-04-07,19.48826530612245,4
13,2001-04-15,25.153225806451616,4
14,2001-04-23,24.23112244897959,4
15,2001-05-01,23.824489795918367,5
16,2001-05-09,20.887500000000003,5
17,2001-05-17,18.86685393258427,5
18,2001-05-25,26.577439024390245,5
19,2001-06-02,27.079591836734693,6
20,2001-06-10,23.383419689119172,6
21,2001-06-18,10.193264248704665,6
22,2001-07-04,22.247448979591837,7
23,2001-07-12,29.086096256684495,7
24,2001-07-20,21.0765306122449,7
25,2001-07-28,29.92295918367347,7
26,2001-08-05,25.26326530612245,8
27,2001-08-13,25.938265306122453,8
28,2001-08-21,25.914285714285718,8
29,2001-08-29,16.911702127659577,8
30,2001-09-06,15.921938775510206,9
31,2001-09-14,20.33421052631579,9
32,2001-09-22,22.631122448979593,9
33,2001-09-30,25.58265306122449,9
34,2001-10-08,23.264795918367348,10
35,2001-10-16,21.44744897959184,10
36,2001-10-24,23.106417112299468,10
37,2001-11-01,20.14864864864865,11
38,2001-11-09,15.700000000000001,11
39,2001-11-17,8.794897959183674,11
40,2001-11-25,15.450000000000001,11
41,2001-12-03,16.434183673469388,12
42,2001-12-11,17.050510204081633,12
43,2001-12-19,15.609693877551022,12
44,2001-12-27,13.682142857142859,12
45,2002-01-01,16.941326530612244,1
46,2002-01-09,20.50357142857143,1
47,2002-01-17,17.519897959183677,1
48,2002-01-25,14.676086956521742,1
49,2002-02-02,18.29234693877551,2
50,2002-02-10,20.2734375,2
51,2002-02-18,22.012755102040817,2
52,2002-02-26,20.492631578947368,2
53,2002-03-06,24.698936170212768,3
54,2002-03-14,19.571698113207546,3
55,2002-03-30,18.761666666666667,3
56,2002-04-07,28.56836734693878,4
57,2002-04-15,29.60615384615385,4
58,2002-04-23,22.85,4
59,2002-05-01,17.907446808510638,5
60,2002-05-09,22.27,5
61,2002-05-17,41.40245398773007,5
62,2002-05-25,30.615,5
63,2002-06-02,38.52702702702703,6
64,2002-06-10,37.17551020408163,6
65,2002-06-18,35.053061224489795,6
66,2002-06-26,30.2875,6
67,2002-07-04,31.659166666666664,7
68,2002-07-12,29.244387755102043,7
69,2002-07-20,31.381481481481487,7
70,2002-07-28,27.074456521739133,7
71,2002-08-05,29.238775510204086,8
72,2002-08-13,25.792346938775513,8
73,2002-08-21,25.914942528735637,8
74,2002-08-29,24.607653061224493,8
75,2002-09-06,25.62204301075269,9
76,2002-09-14,24.9515306122449,9
77,2002-09-22,20.75372340425532,9
78,2002-09-30,17.75820105820106,9
79,2002-10-08,20.518115942028984,10
80,2002-10-16,19.58397435897436,10
81,2002-10-24,15.73112244897959,10
82,2002-11-01,13.82295918367347,11
83,2002-11-09,16.602551020408164,11
84,2002-11-17,12.716836734693878,11
85,2002-11-25,15.046739130434782,11
86,2002-12-03,14.008536585365855,12
87,2002-12-11,10.924489795918369,12
88,2002-12-19,13.44974358974359,12
89,2002-12-27,8.876041666666667,12
90,2003-01-01,9.867346938775512,1
91,2003-01-09,12.074489795918367,1
92,2003-01-17,10.59591836734694,1
93,2003-01-25,18.98617021276596,1
94,2003-02-02,12.616402116402117,2
95,2003-02-10,17.496732026143793,2
96,2003-02-18,18.78924731182796,2
97,2003-02-26,13.426020408163266,2
98,2003-03-06,17.122448979591837,3
99,2003-03-14,17.191836734693876,3
100,2003-03-22,16.935204081632655,3
101,2003-03-30,23.01448275862069,3
102,2003-04-07,24.005649717514125,4
103,2003-04-15,23.277551020408165,4
104,2003-04-23,23.024226804123714,4
105,2003-05-01,21.110937500000002,5
106,2003-05-09,27.329591836734693,5
107,2003-05-17,17.20114942528736,5
108,2003-05-25,11.839267015706808,5
109,2003-06-02,24.32091836734694,6
110,2003-06-10,26.20204081632653,6
111,2003-06-18,20.833333333333336,6
112,2003-06-26,18.889795918367348,6
113,2003-07-04,29.25625,7
114,2003-07-12,24.16467391304348,7
115,2003-07-20,19.901047120418852,7
116,2003-07-28,21.206451612903226,7
117,2003-08-05,26.279591836734696,8
118,2003-08-13,29.451612903225808,8
119,2003-08-21,22.098979591836738,8
120,2003-08-29,20.096938775510207,8
121,2003-09-06,23.23214285714286,9
122,2003-09-14,25.91683673469388,9
123,2003-09-22,16.885714285714286,9
124,2003-09-30,17.337244897959184,9
125,2003-10-08,18.283157894736842,10
126,2003-10-16,20.880208333333336,10
127,2003-10-24,16.605102040816327,10
128,2003-11-01,13.751020408163265,11
129,2003-11-09,13.737755102040817,11
130,2003-11-17,20.330000000000002,11
131,2003-11-25,18.324516129032258,11
132,2003-12-03,20.040361445783134,12
133,2003-12-11,12.596354166666668,12
134,2003-12-19,12.982653061224491,12
135,2003-12-27,7.365306122448979,12
136,2004-01-01,16.853571428571428,1
137,2004-01-09,16.83622448979592,1
138,2004-01-17,17.744387755102043,1
139,2004-01-25,19.27244897959184,1
140,2004-02-02,20.964285714285715,2
141,2004-02-10,24.77936507936508,2
142,2004-02-18,23.03826530612245,2
143,2004-02-26,21.258750000000003,2
144,2004-03-05,24.452849740932646,3
145,2004-03-13,19.3,3
146,2004-03-21,14.345945945945946,3
147,2004-03-29,34.558673469387756,3
148,2004-04-06,28.990909090909096,4
149,2004-04-14,28.663775510204086,4
150,2004-04-22,33.74090909090909,4
151,2004-04-30,36.077127659574465,4
152,2004-05-08,27.40859375,5
153,2004-05-16,30.38085106382979,5
154,2004-05-24,37.49234693877551,5
155,2004-06-01,34.995370370370374,6
156,2004-06-09,35.16829268292683,6
157,2004-06-17,37.304591836734694,6
158,2004-06-25,29.9265306122449,6
159,2004-07-03,26.95408163265306,7
160,2004-07-11,29.033163265306122,7
161,2004-07-19,21.914795918367346,7
162,2004-07-27,29.14387755102041,7
163,2004-08-04,26.273469387755103,8
164,2004-08-12,24.240860215053765,8
165,2004-08-20,28.696938775510205,8
166,2004-08-28,22.277551020408165,8
167,2004-09-05,22.069387755102042,9
168,2004-09-13,18.778061224489797,9
169,2004-09-21,21.90918367346939,9
170,2004-09-29,22.116836734693877,9
171,2004-10-07,22.846739130434784,10
172,2004-10-15,21.055102040816326,10
173,2004-10-23,20.73826530612245,10
174,2004-10-31,19.610880829015546,10
175,2004-11-08,15.673469387755103,11
176,2004-11-16,18.975274725274726,11
177,2004-11-24,19.197727272727274,11
178,2004-12-02,17.919999999999998,12
179,2004-12-10,14.964285714285715,12
180,2004-12-18,15.596236559139786,12
181,2004-12-26,14.541818181818181,12
182,2005-01-01,17.214795918367347,1
183,2005-01-09,15.144387755102043,1
184,2005-01-17,20.602040816326532,1
