,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,39.46171474456787,1.553610816715271,1.553610816715271
1219,1219,2021.0,August,49.1384418253996,1.9345843238346296,1.9345843238346296
1220,1220,2021.0,September,22.14910820552281,0.8720121340757013,0.8720121340757013
1221,1221,2021.0,October,33.571067284564585,1.3216955623844326,1.3216955623844326
1222,1222,2021.0,November,6.912477790092935,0.2721447948855486,0.2721447948855486
1223,1223,2021.0,December,70.954107050993,2.7934687815351578,2.7934687815351578
1224,1224,2022.0,January,8.961838026436007,0.3528282687573231,0.3528282687573231
1225,1225,2022.0,February,16.6284243525291,0.6546623760838228,0.6546623760838228
1226,1226,2022.0,March,33.827691730187865,1.3317988870152704,1.3317988870152704
1227,1227,2022.0,April,53.672177061742666,2.113077837076483,2.113077837076483
1228,1228,2022.0,May,32.552287773210175,1.2815861328035505,1.2815861328035505
1229,1229,2022.0,June,27.071490492139542,1.0658067122889583,1.0658067122889583
