,Year,Month,RF_mm,RF_in
0,1920.0,1.0,173.23760706064652,6.820378230734115
1,1920.0,2.0,29.05409746753926,1.1438621050212308
2,1920.0,3.0,111.51949174063546,4.39053117089116
3,1920.0,4.0,57.863156435441,2.278077025017362
4,1920.0,5.0,42.73287605752751,1.6823966951782483
5,1920.0,6.0,16.5307777268546,0.6508180207423071
6,1920.0,7.0,49.23026610393914,1.9381994529109896
7,1920.0,8.0,70.5545094353812,2.777736591944142
8,1920.0,9.0,56.52415018665548,2.225360243569113
9,1920.0,10.0,49.11669106386146,1.933727994640215
10,1920.0,11.0,91.6444907674984,3.608050817618048
11,1920.0,12.0,134.88392316078654,5.310390675621518
12,1921.0,1.0,319.046617624711,12.560890457665788
13,1921.0,2.0,61.296737281643615,2.413257373293056
14,1921.0,3.0,86.30494413570482,3.3978324462875915
15,1921.0,4.0,101.99914149848782,4.01571423222393
16,1921.0,5.0,7.885276869851715,0.3104439712540046
17,1921.0,6.0,36.57411825413607,1.439925915517168
18,1921.0,7.0,88.36722154033427,3.4790244700919004
19,1921.0,8.0,66.52425376736387,2.6190651089513337
20,1921.0,9.0,44.66255885727551,1.758368458947855
21,1921.0,10.0,57.19447778195751,2.251751093777855
22,1921.0,11.0,287.71328416162606,11.327294652032522
23,1921.0,12.0,213.87914501890845,8.420438780271986
24,1922.0,1.0,202.81286239624023,7.984758362056702
25,1922.0,2.0,128.38937101558764,5.0546996462829785
26,1922.0,3.0,195.0458984375,7.678972379429134
27,1922.0,4.0,72.0995240503428,2.838563938989874
28,1922.0,5.0,43.000318682923606,1.6929259323985673
29,1922.0,6.0,18.02614062173026,0.7096905756586717
30,1922.0,7.0,45.37872261903724,1.7865638826392616
31,1922.0,8.0,86.60172941246812,3.4095169060026818
32,1922.0,9.0,114.62768873876456,4.512901131447423
33,1922.0,10.0,44.432273864746094,1.7493021206592951
34,1922.0,11.0,97.34466646155532,3.8324671835258
35,1922.0,12.0,24.99040866384701,0.9838743568443704
36,1923.0,1.0,279.0669563449159,10.98688804507543
37,1923.0,2.0,29.075334753308976,1.1446982186342116
38,1923.0,3.0,123.79186342200454,4.87369541031514
39,1923.0,4.0,239.4911618135413,9.42878589817092
40,1923.0,5.0,30.095583370753697,1.1848654870375472
41,1923.0,6.0,72.37983499254499,2.849599802856102
42,1923.0,7.0,71.06734435412349,2.797926943075728
43,1923.0,8.0,92.20733210505271,3.630209925395776
