"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.7,3.9,4.2,2.9,2.2,0.7,0.5,0.7,1,2.1,4.1,5.6,34
"Min TA [°F]",58.4,58.3,59.1,60.4,61.8,63.7,64.7,65.4,64.7,63.8,62.3,59.9,61.8
"Mean TA [°F]",65.5,65.4,66.3,67.6,69.2,71.2,72.1,72.8,72,71.4,69.1,66.7,69.1
"Max TA [°F]",74.6,74.5,75.2,76,77.4,79.5,80.5,81.2,81,80,77.6,75.3,77.5
"RH [%]",81,81,82,83,83,83,82,81,81,82,81,81,82
"CF [%]",46,51,53,52,47,41,35,35,39,50,48,45,45
"ET [in]",2,2,2,2,2,1,1,1,1,1,1,2,17
"SM [%]",54,52,49,46,40,29,14,13,20,31,43,51,37
"S [W m/2]",167,186,211,230,243,263,268,258,222,189,166,160,214
