"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1927-04","27","-0.56","-1.09","-15.01"
"1928-12","1929-11","10","-0.35","-1.03","-3.51"
"1931-01","1932-02","13","-0.86","-1.32","-11.14"
"1933-11","1943-01","52","-0.56","-1.52","-28.89"
"1943-12","1944-03","3","-0.79","-1.19","-2.36"
"1944-04","1945-04","12","-0.36","-2.1","-4.31"
"1945-06","1954-12","51","-0.68","-1.86","-34.48"
"1957-02","1958-10","20","-0.55","-1.39","-11.04"
"1958-11","1961-10","24","-0.53","-1.24","-12.81"
"1962-11","1974-03","39","-0.53","-1.42","-20.7"
"1975-05","1979-01","44","-0.64","-1.63","-28.25"
"1981-01","1985-11","44","-0.7","-1.42","-30.74"
"1986-01","1988-03","19","-0.6","-1.31","-11.37"
"1988-04","1993-03","24","-0.97","-2.63","-23.19"
"1993-05","1996-11","24","-0.44","-1.23","-10.56"
"1998-01","2002-04","51","-1.5","-3.02","-76.32"
"2003-02","2004-03","12","-1.01","-1.95","-12.12"
"2005-05","2006-03","10","-0.46","-1.12","-4.59"
"2007-03","2007-12","9","-0.79","-1.42","-7.08"
"2008-01","2015-09","83","-1.25","-3.15","-103.84"
"2016-01","2017-02","13","-0.74","-1.44","-9.67"
"2018-04","2019-12","13","-0.4","-0.89","-5.15"
