"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1506.5,34,69.1,77.5,61.8,82,0.37,214,17,0.45,7.2,26.3,"RS18_MA"
"Max",3386.1,42,73.9,81.9,66.9,86,0.42,229,20,0.48,9.5,32.6,NA
"Min",138.7,21,63,72,55.3,72,0.29,202,14,0.48,4.8,16.7,NA
