time,datetime,ET
978307200000,2001-01-01,30.5
978998400000,2001-01-09,18.5
979689600000,2001-01-17,17.7
980380800000,2001-01-25,20.400000000000002
981072000000,2001-02-02,19.400000000000002
982454400000,2001-02-18,13.0
983145600000,2001-02-26,16.2
983836800000,2001-03-06,16.5
985219200000,2001-03-22,17.5
987292800000,2001-04-15,19.200000000000003
987984000000,2001-04-23,20.0
988675200000,2001-05-01,20.3
989366400000,2001-05-09,19.5
990057600000,2001-05-17,33.7
990748800000,2001-05-25,37.7
991440000000,2001-06-02,21.6
994204800000,2001-07-04,21.1
995587200000,2001-07-20,30.0
996278400000,2001-07-28,35.800000000000004
996969600000,2001-08-05,25.400000000000002
998352000000,2001-08-21,33.9
999043200000,2001-08-29,26.700000000000003
999734400000,2001-09-06,33.800000000000004
1000425600000,2001-09-14,27.3
1001116800000,2001-09-22,22.200000000000003
1001808000000,2001-09-30,21.0
1002499200000,2001-10-08,19.0
1003881600000,2001-10-24,26.700000000000003
1004572800000,2001-11-01,15.700000000000001
1005955200000,2001-11-17,25.400000000000002
1006646400000,2001-11-25,17.3
1008028800000,2001-12-11,15.0
1008720000000,2001-12-19,24.1
1009411200000,2001-12-27,14.600000000000001
1009843200000,2002-01-01,21.700000000000003
1010534400000,2002-01-09,20.0
1011225600000,2002-01-17,11.4
1012608000000,2002-02-02,23.0
1013299200000,2002-02-10,16.7
1013990400000,2002-02-18,15.100000000000001
1015372800000,2002-03-06,18.1
1016064000000,2002-03-14,17.8
1017446400000,2002-03-30,19.5
1020902400000,2002-05-09,19.5
1021593600000,2002-05-17,25.900000000000002
1022284800000,2002-05-25,33.6
1023667200000,2002-06-10,31.0
1024358400000,2002-06-18,29.0
1026432000000,2002-07-12,27.6
1029196800000,2002-08-13,20.3
1029888000000,2002-08-21,28.200000000000003
1030579200000,2002-08-29,28.8
1031961600000,2002-09-14,28.8
1032652800000,2002-09-22,21.700000000000003
1033344000000,2002-09-30,31.0
1034035200000,2002-10-08,30.0
1034726400000,2002-10-16,25.1
1035417600000,2002-10-24,19.900000000000002
1036108800000,2002-11-01,27.0
1036800000000,2002-11-09,20.5
1037491200000,2002-11-17,19.400000000000002
1038182400000,2002-11-25,22.200000000000003
1038873600000,2002-12-03,18.1
1039564800000,2002-12-11,19.5
1040256000000,2002-12-19,21.1
1040947200000,2002-12-27,13.5
1041379200000,2003-01-01,19.200000000000003
1042070400000,2003-01-09,19.3
1042761600000,2003-01-17,14.5
1043452800000,2003-01-25,22.3
1044144000000,2003-02-02,22.900000000000002
1044835200000,2003-02-10,17.1
1045526400000,2003-02-18,23.200000000000003
1046217600000,2003-02-26,17.2
1046908800000,2003-03-06,26.5
1047600000000,2003-03-14,22.1
1048291200000,2003-03-22,17.3
1049673600000,2003-04-07,18.5
1051747200000,2003-05-01,26.700000000000003
1052438400000,2003-05-09,31.900000000000002
1053129600000,2003-05-17,33.4
1053820800000,2003-05-25,19.900000000000002
1054512000000,2003-06-02,33.5
1055203200000,2003-06-10,30.3
1056585600000,2003-06-26,27.900000000000002
1057276800000,2003-07-04,32.9
1057968000000,2003-07-12,33.300000000000004
1058659200000,2003-07-20,20.6
1060041600000,2003-08-05,38.1
1060732800000,2003-08-13,38.2
1061424000000,2003-08-21,35.1
1062115200000,2003-08-29,26.400000000000002
1062806400000,2003-09-06,32.0
1063497600000,2003-09-14,33.1
1064188800000,2003-09-22,25.900000000000002
1064880000000,2003-09-30,26.6
1065571200000,2003-10-08,24.6
1066262400000,2003-10-16,25.8
1066953600000,2003-10-24,20.200000000000003
1067644800000,2003-11-01,17.6
1068336000000,2003-11-09,12.9
1069027200000,2003-11-17,21.3
1069718400000,2003-11-25,18.3
1070409600000,2003-12-03,19.5
1071100800000,2003-12-11,15.700000000000001
1071792000000,2003-12-19,18.900000000000002
1072915200000,2004-01-01,22.6
1073606400000,2004-01-09,20.8
1074297600000,2004-01-17,16.8
1074988800000,2004-01-25,20.900000000000002
1075680000000,2004-02-02,23.400000000000002
1076371200000,2004-02-10,25.6
1077062400000,2004-02-18,26.0
1077753600000,2004-02-26,26.200000000000003
1078444800000,2004-03-05,26.200000000000003
1079827200000,2004-03-21,14.700000000000001
1080518400000,2004-03-29,30.3
1081209600000,2004-04-06,31.900000000000002
1081900800000,2004-04-14,22.1
1082592000000,2004-04-22,21.400000000000002
1083283200000,2004-04-30,23.900000000000002
1083974400000,2004-05-08,20.3
1084665600000,2004-05-16,18.900000000000002
1085356800000,2004-05-24,32.4
1086048000000,2004-06-01,34.4
1087430400000,2004-06-17,38.400000000000006
1088121600000,2004-06-25,26.200000000000003
1088812800000,2004-07-03,37.7
1090195200000,2004-07-19,31.8
1091577600000,2004-08-04,35.0
1092268800000,2004-08-12,32.5
1092960000000,2004-08-20,32.2
1093651200000,2004-08-28,30.5
1094342400000,2004-09-05,35.0
1095033600000,2004-09-13,23.5
1095724800000,2004-09-21,28.8
1096416000000,2004-09-29,28.8
1097107200000,2004-10-07,27.1
1097798400000,2004-10-15,16.0
1098489600000,2004-10-23,15.9
1099180800000,2004-10-31,19.3
1099872000000,2004-11-08,24.3
1100563200000,2004-11-16,24.8
1101254400000,2004-11-24,20.1
1101945600000,2004-12-02,15.3
1102636800000,2004-12-10,18.8
1103328000000,2004-12-18,20.400000000000002
1104019200000,2004-12-26,16.8
1104537600000,2005-01-01,17.7
1105228800000,2005-01-09,20.5
1105920000000,2005-01-17,26.900000000000002
