"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",10.8,9.1,13.4,12.3,6.9,5.2,6.9,7,5.9,6.9,12,10.5,107
"Min TA [°F]",43.2,42.9,43.3,44.5,45.7,47.5,47.7,48.6,48,47.6,46.4,44.3,45.8
"Mean TA [°F]",51.3,50.7,51.1,52.2,53.6,55.5,55,56.5,56.1,55.8,53.6,51.6,53.6
"Max TA [°F]",61.6,60.6,60.7,61.4,62.5,64.6,63.5,65.7,65.9,65.1,62.6,60.8,62.8
"RH [%]",70,71,77,81,78,80,79,80,82,81,76,73,77
"CF [%]",48,57,60,58,52,46,42,39,39,48,47,47,48
"ET [in]",2,2,3,3,3,3,3,3,3,2,2,2,30
"SM [%]",65,65,67,69,63,55,55,57,56,56,63,67,61
"S [W m/2]",172,181,196,196,217,228,238,233,213,181,164,161,198
