"Date","Year","Month","RF"
"1934/08","1934","08","4.9"
"1934/09","1934","09","9.3"
"1934/10","1934","10","5.2"
"1934/11","1934","11","11.5"
"1934/12","1934","12","8.2"
"1935/01","1935","01","16.8"
"1935/02","1935","02","19.6"
"1935/03","1935","03","5.8"
"1935/04","1935","04","9"
"1935/05","1935","05","3.3"
"1935/06","1935","06","4.8"
"1935/07","1935","07","4.2"
"1935/08","1935","08","3.7"
"1935/09","1935","09","4"
"1935/10","1935","10","4.5"
"1935/11","1935","11","8.6"
"1935/12","1935","12","1.4"
"1936/01","1936","01","5.2"
"1936/02","1936","02","8.8"
"1936/03","1936","03","11.8"
"1936/04","1936","04","7"
"1936/05","1936","05","8.5"
"1936/06","1936","06","5.9"
"1936/07","1936","07","8.5"
"1936/08","1936","08","8.4"
"1936/09","1936","09","9.8"
"1936/10","1936","10","7.6"
"1936/11","1936","11","5.9"
"1936/12","1936","12","26.6"
"1937/01","1937","01","19.8"
"1937/02","1937","02","18.3"
"1937/03","1937","03","15.1"
"1937/04","1937","04","5.6"
"1937/05","1937","05","18.5"
"1937/06","1937","06","3.7"
"1937/07","1937","07","14.2"
"1937/08","1937","08","20.3"
"1937/09","1937","09","4.6"
"1937/10","1937","10","5.3"
"1937/11","1937","11","11.6"
"1937/12","1937","12","12.7"
"1938/01","1938","01","13.2"
"1938/02","1938","02","3.9"
"1938/03","1938","03","16.8"
"1938/04","1938","04","38.1"
"1938/05","1938","05","17.9"
"1938/06","1938","06","6.9"
"1938/07","1938","07","3.7"
"1938/08","1938","08","14.6"
"1938/09","1938","09","3.1"
"1938/10","1938","10","6.5"
"1938/11","1938","11","5.3"
"1938/12","1938","12","7.3"
"1939/01","1939","01","25.6"
"1939/02","1939","02","9.6"
"1939/03","1939","03","12.4"
"1939/04","1939","04","15.2"
"1939/05","1939","05","6.5"
"1939/06","1939","06","8.4"
"1939/07","1939","07","7"
"1939/08","1939","08","7.1"
"1939/09","1939","09","6.8"
"1939/10","1939","10","4.7"
"1939/11","1939","11","10.6"
"1939/12","1939","12","4"
"1940/01","1940","01","7.8"
"1940/02","1940","02","4.6"
"1940/03","1940","03","6"
"1940/04","1940","04","4.3"
"1940/05","1940","05","12.7"
"1940/06","1940","06","3.2"
"1940/07","1940","07","5.1"
"1940/08","1940","08","29"
"1940/09","1940","09","9.4"
"1940/10","1940","10","5.3"
"1940/11","1940","11","5.6"
"1940/12","1940","12","5.7"
"1941/01","1941","01","5.7"
"1941/02","1941","02","3.1"
"1941/03","1941","03","15.7"
"1941/04","1941","04","3.9"
"1941/05","1941","05","9.7"
"1941/06","1941","06","18.8"
"1941/07","1941","07","3.9"
"1941/08","1941","08","9.8"
"1941/09","1941","09","13.8"
"1941/10","1941","10","31.4"
"1941/11","1941","11","4.4"
"1941/12","1941","12","12.3"
"1942/01","1942","01","1.9"
"1942/02","1942","02","20.4"
"1942/03","1942","03","39.7"
"1942/04","1942","04","10.9"
"1942/05","1942","05","7.9"
"1942/06","1942","06","7.1"
"1942/07","1942","07","12.1"
"1942/08","1942","08","8.6"
"1942/09","1942","09","11.7"
"1942/10","1942","10","9.2"
"1942/11","1942","11","10.3"
"1942/12","1942","12","14.4"
"1943/01","1943","01","12.1"
"1943/02","1943","02","8.5"
"1943/03","1943","03","10.6"
"1943/04","1943","04","9.4"
"1943/05","1943","05","10.9"
"1943/06","1943","06","4"
"1943/07","1943","07","6.9"
"1943/08","1943","08","10.3"
"1943/09","1943","09","5.4"
"1943/10","1943","10","2.4"
"1943/11","1943","11","3.3"
"1943/12","1943","12","12.3"
"1944/01","1944","01","1.3"
"1944/02","1944","02","5.7"
"1944/03","1944","03","14.6"
"1944/04","1944","04","8.4"
"1944/05","1944","05","5.9"
"1944/06","1944","06","6"
"1944/07","1944","07","4.3"
"1944/08","1944","08","5.4"
"1944/09","1944","09","3.5"
"1944/10","1944","10","4.7"
"1944/11","1944","11","6.9"
"1944/12","1944","12","7.2"
"1945/01","1945","01","1.3"
"1945/02","1945","02","4.7"
"1945/03","1945","03","9.9"
"1945/04","1945","04","12.5"
"1945/05","1945","05","2.1"
"1945/06","1945","06","3.5"
"1945/07","1945","07","4.2"
"1945/08","1945","08","13.8"
"1945/09","1945","09","4.3"
"1945/10","1945","10","7"
"1945/11","1945","11","5.6"
"1945/12","1945","12","4.4"
"1946/01","1946","01","21.9"
"1946/02","1946","02","11.1"
"1946/03","1946","03","16.2"
"1946/04","1946","04","12.9"
"1946/05","1946","05","2.1"
"1946/06","1946","06","2.1"
"1946/07","1946","07","17.2"
"1946/08","1946","08","2.9"
"1946/09","1946","09","2.8"
"1946/10","1946","10","5.4"
"1946/11","1946","11","15.4"
"1946/12","1946","12","43.9"
"1947/01","1947","01","6"
"1947/02","1947","02","3.9"
"1947/03","1947","03","11.3"
"1947/04","1947","04","5"
"1947/05","1947","05","15"
"1947/06","1947","06","3"
"1947/07","1947","07","5.4"
"1947/08","1947","08","9.7"
