"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",5546.1,107,53.6,62.8,45.8,77,0.61,198,30,0.48,38.9,68,"RS15_MA"
"Max",6808.7,179,56.5,65.4,49.2,84,0.72,216,34,0.54,72.6,106.3,NA
"Min",4316.5,58,50.6,60.5,42.2,70,0.5,178,21,0.54,17.8,40.5,NA
