"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.3,5.3,6.8,4.3,3.2,1.9,3.3,3.3,4.6,5,7.7,5.8,57
"Min TA [°F]",57.6,57.6,58.3,59.7,61.1,62.8,63.8,64.3,63.4,62.9,61.6,59.3,61
"Mean TA [°F]",64.8,64.7,65.4,66.8,68.4,70.3,71,71.5,70.6,70.4,68.3,66.1,68.2
"Max TA [°F]",73.8,73.7,74.1,75.2,76.6,78.5,79.2,79.8,79.4,78.7,76.7,74.6,76.5
"RH [%]",83,82,83,85,85,86,84,83,83,83,83,82,84
"CF [%]",56,62,64,66,64,60,51,49,53,60,61,55,58
"ET [in]",2,2,2,2,2,2,2,2,2,2,2,2,24
"SM [%]",55,55,56,54,47,40,41,44,48,51,57,58,51
"S [W m/2]",157,169,185,197,196,205,220,211,189,170,145,151,183
