"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1723.5,57,68.2,76.5,61,84,0.51,183,24,0.58,21.3,36.1,"RS06_BI"
"Max",2006.2,70,69.2,77.5,61.9,85,0.54,188,36,0.6,26.8,43.1,NA
"Min",1477.5,51,66.9,75.2,59.7,83,0.48,177,20,0.6,18.9,32.1,NA
