"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-04","36","-0.71","-1.48","-25.52"
"1927-08","1929-11","14","-0.44","-1.16","-6.11"
"1931-01","1935-02","37","-0.36","-1.01","-13.4"
"1936-11","1943-01","30","-0.42","-1","-12.67"
"1944-01","1954-11","52","-0.43","-1.32","-22.38"
"1958-01","1961-12","20","-0.68","-1.2","-13.57"
"1962-12","1971-01","30","-0.55","-1.29","-16.55"
"1972-12","1974-03","15","-1.19","-2.11","-17.9"
"1977-01","1978-11","22","-0.9","-1.37","-19.75"
"1981-03","1985-10","40","-0.75","-1.46","-30.14"
"1985-12","1987-12","10","-0.3","-1.03","-2.96"
"1988-12","1993-07","22","-0.61","-1.27","-13.47"
"1993-09","1994-09","12","-0.32","-1","-3.86"
"1995-02","1996-03","13","-0.93","-1.75","-12.06"
"1997-12","2002-01","49","-1.45","-2.95","-71.12"
"2003-01","2004-05","16","-1.65","-2.95","-26.39"
"2005-01","2006-03","13","-0.7","-1.07","-9.14"
"2007-03","2018-02","131","-1.31","-3.32","-171.89"
"2019-10","2019-12","3","-0.25","-0.43","-0.76"
