"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-01","1927-03","34","-0.51","-1.37","-17.19"
"1928-12","1932-02","23","-0.31","-1.02","-7.14"
"1933-02","1935-01","23","-0.83","-1.91","-19.11"
"1935-05","1943-01","48","-0.63","-1.4","-30.12"
"1944-01","1946-01","21","-0.52","-1.9","-10.91"
"1946-04","1948-02","14","-0.33","-1.11","-4.59"
"1949-04","1950-08","16","-0.61","-1.5","-9.83"
"1952-04","1954-12","32","-0.91","-1.88","-29.09"
"1957-10","1963-03","43","-0.39","-1.06","-16.93"
"1964-02","1971-01","30","-0.7","-1.32","-20.87"
"1972-01","1972-12","11","-0.81","-1.84","-8.93"
"1973-02","1974-05","15","-0.97","-1.71","-14.61"
"1975-09","1979-02","41","-1.27","-2.32","-52.27"
"1981-01","1982-02","13","-1.46","-2.19","-18.99"
"1983-02","1986-04","38","-1.01","-1.9","-38.32"
"1987-03","1996-02","43","-0.44","-1.01","-18.91"
"1998-03","2002-01","44","-1.11","-1.86","-48.88"
"2003-01","2004-01","12","-0.89","-1.42","-10.63"
"2006-01","2007-12","15","-0.64","-1.22","-9.53"
"2008-08","2009-11","15","-0.6","-1.79","-9.02"
"2009-12","2011-02","14","-0.92","-1.58","-12.95"
"2011-03","2014-10","43","-0.87","-1.99","-37.57"
"2016-01","2018-02","24","-0.69","-1.49","-16.54"
"2016-01","2019-12","0","NaN","Inf","0"
