"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",2.3,1.6,1.8,1.2,1.1,0.8,0.8,0.7,0.7,0.9,1.5,2.1,16
"Min TA [°F]",57.2,57,57.8,59.1,60.4,62.2,63.2,63.9,63.3,62.6,61,58.7,60.6
"Mean TA [°F]",64.6,64.5,65.2,66.5,68,69.9,70.7,71.5,70.8,70.4,68.1,65.9,68
"Max TA [°F]",74.3,73.9,74.3,75.2,76.4,78.4,79.2,80.1,80,79.2,77,75.1,77
"RH [%]",83,83,84,86,86,87,85,84,84,84,83,83,84
"CF [%]",39,43,48,47,44,38,34,31,32,39,40,38,39
"ET [in]",2,2,2,2,2,1,1,1,1,1,1,2,16
"SM [%]",37,36,33,31,26,22,19,18,17,18,26,34,26
"S [W m/2]",186,210,223,244,249,264,270,269,248,211,184,178,228
