"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1955.1,16,68,77,60.6,84,0.26,228,16,0.39,5.1,10.6,"RS03_BI"
"Max",2248.3,18,69.1,78,61.8,85,0.29,231,19,0.4,6,12.1,NA
"Min",1599.2,15,67,76,59.5,83,0.25,224,15,0.4,4.6,9.9,NA
