"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.5,5.8,7.8,5,4.9,3.7,4.3,4.2,4.3,6.3,8.4,7.3,68
"Min TA [°F]",61.8,61.7,62.4,63.7,65,66.7,67.7,68.3,67.7,66.9,65.5,63.3,65.2
"Mean TA [°F]",68.7,68.6,69.2,70.4,72,73.8,74.6,75.2,74.6,74,71.8,69.7,71.9
"Max TA [°F]",77.3,77.2,77.5,78.1,79.6,81.5,82.2,82.9,83,81.7,79.5,77.6,80.1
"RH [%]",76,76,76,76,76,75,75,75,75,76,76,76,76
"CF [%]",63,73,75,72,72,72,68,67,56,66,69,66,68
"ET [in]",3,2,3,3,3,3,3,3,3,3,2,2,34
"SM [%]",58,57,58,57,52,50,49,49,49,53,59,61,54
"S [W m/2]",139,154,170,193,203,206,208,202,211,164,136,127,176
