"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-02","18","-0.55","-1.29","-9.84"
"1924-02","1927-04","28","-1.06","-2.11","-29.8"
"1928-12","1930-01","13","-0.63","-1.03","-8.15"
"1931-01","1934-11","23","-0.65","-1.87","-14.98"
"1935-08","1946-01","47","-0.66","-2.43","-31.19"
"1946-04","1948-04","24","-0.76","-1.31","-18.35"
"1949-08","1950-10","14","-0.53","-1.19","-7.42"
"1952-03","1954-11","31","-0.92","-2.27","-28.4"
"1957-10","1960-06","18","-0.62","-1.5","-11.08"
"1960-11","1974-03","65","-0.65","-2.24","-42.57"
"1975-05","1976-09","16","-0.59","-1.41","-9.42"
"1976-11","1978-11","23","-1.35","-2.22","-31.06"
"1979-10","1980-05","7","-0.58","-1.4","-4.05"
"1981-01","1982-01","12","-0.82","-1.34","-9.86"
"1983-06","1985-10","28","-1.25","-2.34","-34.94"
"1985-11","1987-12","24","-0.54","-1.34","-13.03"
"1990-07","1994-03","22","-0.47","-1.55","-10.4"
"1995-01","1996-07","18","-0.74","-1.46","-13.3"
"1996-10","2002-05","51","-1.3","-2.72","-66.36"
"2002-06","2003-12","17","-0.74","-1.51","-12.5"
"2005-08","2009-05","31","-0.69","-1.39","-21.34"
"2009-06","2011-05","19","-1.05","-2.2","-19.96"
"2011-12","2013-11","23","-1.01","-1.99","-23.26"
"2015-07","2018-02","12","-0.54","-1.1","-6.47"
"2019-11","2019-12","2","-0.26","-0.34","-0.52"
