"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",622,68,71.9,80.1,65.2,76,0.54,176,34,0.68,27.7,40.8,"RS34_OA"
"Max",2060.1,93,74.2,82.2,67.6,84,0.88,197,51,0.74,39.8,53.1,NA
"Min",0.2,54,67.3,76.1,60.4,70,0.5,155,23,0.74,19.9,33.6,NA
