"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1384.7,159,68,75.7,61.4,82,0.7,220,39,0.51,60.6,98.4,"RS12_BI"
"Max",2271.3,173,71.2,78.6,64.7,85,1,228,61,0.53,67.7,108.2,NA
"Min",465.9,137,65.2,73.1,58.5,76,0.67,210,30,0.53,52.9,82.4,NA
