"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.3,3.6,2.9,1.7,1.6,0.9,0.5,0.8,1.4,2.1,3.3,4.6,29
"Min TA [°F]",50.7,50.6,51.4,52.6,53.9,55.8,56.6,57.3,56.6,55.9,54.6,52.3,54
"Mean TA [°F]",58.5,58.3,59.1,60.4,61.7,63.8,64.4,65.3,64.4,64.1,62.1,59.8,61.8
"Max TA [°F]",68.5,68.1,68.6,69.5,70.6,72.7,73.4,74.4,74.1,73.3,71.4,69.4,71.1
"RH [%]",81,81,85,88,87,89,87,86,87,86,83,82,85
"CF [%]",48,55,55,54,50,47,45,44,42,50,49,44,49
"ET [in]",2,1,2,2,2,1,1,1,1,1,1,1,16
"SM [%]",52,50,45,38,32,27,16,15,25,33,41,48,35
"S [W m/2]",158,174,198,209,221,227,224,216,198,177,157,157,193
