"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1929-11","44","-0.45","-1.56","-19.92"
"1931-01","1933-12","23","-0.53","-1.08","-12.11"
"1934-02","1942-12","41","-0.61","-1.42","-25.16"
"1943-12","1944-03","3","-0.96","-1.49","-2.87"
"1944-05","1946-01","18","-0.35","-2.54","-6.31"
"1946-04","1948-02","20","-0.49","-1.11","-9.8"
"1949-06","1955-01","48","-0.83","-1.97","-39.81"
"1955-04","1958-08","26","-0.42","-1.34","-10.98"
"1958-11","1961-10","23","-0.95","-1.88","-21.93"
"1962-11","1965-02","10","-0.75","-1.21","-7.53"
"1966-08","1972-03","21","-0.51","-1.02","-10.75"
"1972-04","1974-01","15","-1.12","-2.02","-16.76"
"1975-04","1979-01","45","-0.88","-1.96","-39.49"
"1981-02","1985-12","44","-0.52","-1.15","-23.08"
"1986-01","1988-01","21","-0.6","-1.15","-12.59"
"1988-02","1993-01","24","-0.67","-1.46","-16.11"
"1993-09","1996-11","37","-0.61","-1.76","-22.71"
"1998-01","2002-04","51","-1.51","-2.11","-76.78"
"2003-05","2004-01","8","-0.52","-1.06","-4.19"
"2005-04","2006-10","18","-0.52","-1.05","-9.42"
"2007-05","2007-12","5","-0.48","-1.11","-2.4"
"2008-12","2014-03","55","-1.38","-2.25","-75.67"
"2016-08","2019-12","15","-0.32","-0.94","-4.83"
