"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",3611.3,29,61.8,71.1,54,85,0.35,193,16,0.49,7.3,21.3,"RS23_MA"
"Max",4961.6,31,65.9,74.9,58.4,86,0.37,204,18,0.51,8.6,22.8,NA
"Min",2330.6,27,57.5,67.2,49.4,82,0.33,182,11,0.51,6.2,20.3,NA
