"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.6,5.1,5.4,2.8,2.7,1.5,1.8,1.6,1.6,3.9,6.2,6.6,46
"Min TA [°F]",62.4,62.4,63.2,64.5,65.8,67.6,68.7,69.3,68.7,67.8,66.3,64,65.9
"Mean TA [°F]",69.3,69.3,70,71.4,72.8,74.7,75.7,76.3,75.7,75.1,72.8,70.5,72.8
"Max TA [°F]",77.9,77.9,78.3,79.3,80.5,82.5,83.6,84.2,84.3,83,80.7,78.5,80.9
"RH [%]",75,74,74,74,74,73,73,73,73,74,75,75,74
"CF [%]",62,65,70,64,67,64,62,61,50,61,64,62,63
"ET [in]",3,2,3,3,3,3,3,3,3,3,2,2,32
"SM [%]",61,60,58,54,49,46,44,44,44,49,57,61,52
"S [W m/2]",140,166,181,204,213,215,213,209,212,169,138,132,183
