"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1923-02","14","-0.63","-1.24","-8.82"
"1924-01","1927-04","38","-0.82","-1.82","-31.3"
"1927-10","1929-12","14","-1.16","-1.83","-16.31"
"1931-01","1932-02","13","-0.67","-1.28","-8.74"
"1932-08","1935-03","31","-0.52","-1.32","-16.16"
"1935-05","1942-12","41","-0.56","-1.59","-23.1"
"1944-01","1948-01","48","-0.95","-2.49","-45.49"
"1948-10","1954-11","38","-0.76","-1.89","-28.85"
"1958-01","1961-11","34","-0.74","-1.51","-24.99"
"1962-01","1974-03","43","-0.82","-2.28","-35.31"
"1975-09","1978-10","34","-0.71","-1.63","-24.09"
"1981-02","1985-02","29","-0.83","-1.76","-24.2"
"1985-04","1994-03","45","-0.36","-1.24","-16.2"
"1994-08","1996-11","27","-0.67","-1.53","-18.16"
"1998-02","2003-12","70","-1.19","-2.47","-83.12"
"2006-01","2009-04","27","-0.61","-1.24","-16.35"
"2010-03","2011-05","14","-0.6","-1.24","-8.38"
"2011-12","2014-03","27","-1.15","-2.07","-30.95"
"2015-07","2017-04","7","-0.72","-1.11","-5.05"
"2017-05","2018-02","9","-0.47","-1","-4.21"
"2019-10","2019-12","3","-0.31","-0.44","-0.92"
