"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",457.3,46,72.8,80.9,65.9,74,0.52,183,32,0.63,13.2,32.8,"Rs42_OA"
"Max",2208.9,67,74.5,82.4,67.7,85,0.85,210,60,0.68,20.1,46.4,NA
"Min",0.1,34,66.7,75.5,59.6,70,0.39,159,3,0.68,9.4,24.2,NA
