"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.9,2.3,3.3,1.9,1.2,0.8,1.6,1.4,1.4,1.7,3.4,3,26
"Min TA [°F]",62.6,62.6,63.4,64.8,66.2,67.9,68.9,69.5,69.1,68.3,66.6,64.3,66.2
"Mean TA [°F]",69.6,69.6,70.3,71.7,73.3,75.1,75.9,76.6,76.1,75.7,73.2,70.9,73.2
"Max TA [°F]",78.5,78.4,78.8,79.8,81.3,83,83.9,84.5,84.8,83.9,81.4,79.2,81.5
"RH [%]",76,75,75,75,75,74,74,74,73,75,76,75,75
"CF [%]",41,46,52,58,56,57,52,50,49,53,51,45,51
"ET [in]",2,2,2,2,2,1,1,1,1,1,2,2,20
"SM [%]",45,44,42,40,31,23,26,30,29,31,40,44,35
"S [W m/2]",189,216,227,240,240,226,227,222,214,191,175,174,212
