"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",449.4,26,73.2,81.5,66.2,75,0.35,212,20,0.51,7.9,17.7,"Rs59_BI"
"Max",700.5,29,74.3,82.6,67.5,77,0.52,221,29,0.53,9.7,19.5,NA
"Min",123.5,22,72.2,80.6,65.2,71,0.33,207,17,0.53,6.7,15.5,NA
