"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",10,7.5,10,6.8,5.6,4.8,7.2,4.5,5.3,8.5,8.2,10,92
"Min TA [°F]",58,57.9,58.5,59.8,61.4,63.1,64,64.6,64.1,63.2,61.7,59.6,61.4
"Mean TA [°F]",65,64.8,65.4,66.6,68.6,70.3,71,71.8,71.3,70.6,68.1,66.2,68.3
"Max TA [°F]",73.8,73.4,73.9,74.6,76.6,78.4,79,79.9,80.2,78.8,76.1,74.5,76.8
"RH [%]",82,82,83,84,84,85,83,82,82,82,82,82,83
"CF [%]",63,73,76,73,73,70,69,64,55,68,69,66,68
"ET [in]",2,2,3,3,3,3,3,3,3,3,2,2,31
"SM [%]",65,63,63,62,56,53,55,55,52,58,62,63,59
"S [W m/2]",141,156,165,173,194,193,180,188,193,153,126,128,166
