"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1590.8,92,68.3,76.8,61.4,83,0.59,166,31,0.68,35.9,52.4,"RS28_MO"
"Max",2497.2,111,72.7,81,66.1,86,0.63,183,48,0.7,45.9,62.8,NA
"Min",188.8,68,64.7,73.3,57.7,74,0.53,155,25,0.7,25.5,40.3,NA
