,Month,RF_in,rolledMonth,RF
0,January,10.915206382936367,July,9.197830168048425
1,February,10.390049649580224,August,10.067567507885464
2,March,13.54914509639039,September,9.185527775612353
3,April,12.108700515898496,October,10.92744580125524
4,May,8.744608494015544,November,13.520170437769995
5,June,6.943459112215491,December,12.917528800112047
6,July,9.197830168048425,January,10.915206382936367
7,August,10.067567507885464,February,10.390049649580224
8,September,9.185527775612353,March,13.54914509639039
9,October,10.92744580125524,April,12.108700515898496
10,November,13.520170437769995,May,8.744608494015544
11,December,12.917528800112047,June,6.943459112215491
