,date,RF_in_scale_3,RF_in_scale_3_calculated_index
0,1920-01-01,,
1,1920-02-01,,
2,1920-03-01,10.869787600802134,0.0
3,1920-04-01,6.51539192036192,-0.1417112521386327
4,1920-05-01,8.752591661386507,0.0
5,1920-06-01,5.993619855594497,0.0
6,1920-07-01,4.685161974303116,0.0
7,1920-08-01,2.008217824381296,-0.1643269253598936
8,1920-09-01,1.7271865383418885,-0.6679764418675722
9,1920-10-01,1.747438909511711,-1.0151719043544485
10,1920-11-01,2.602047838025239,-0.9757012591594983
11,1920-12-01,13.563008201103957,0.0
12,1921-01-01,22.219333451397294,0.0
13,1921-02-01,23.006886991134635,0.0
14,1921-03-01,12.311092732487312,0.0
15,1921-04-01,4.155704087681858,-0.7620611806440782
16,1921-05-01,2.791480110513972,-1.0047540398868526
17,1921-06-01,3.0937610618755897,-0.1780854088122879
18,1921-07-01,2.2522773116942263,-0.1900158960294976
19,1921-08-01,1.7534962056684336,-0.3812865780374462
20,1921-09-01,1.006107618639566,-1.3836301589840485
21,1921-10-01,3.971271366262816,-0.0555537474403984
22,1921-11-01,4.398170705000019,-0.3676336685499294
23,1921-12-01,9.136716270748924,0.0
24,1922-01-01,8.38273014564836,-0.2499407400620037
25,1922-02-01,8.961034051493197,-0.2098450363621502
26,1922-03-01,6.745178218390643,-0.5041758646078763
27,1922-04-01,5.782855572007562,-0.3147081301698447
28,1922-05-01,5.17765370240856,-0.1708868652644273
29,1922-06-01,2.6439657750836414,-0.3903249651134644
30,1922-07-01,1.237400668184927,-0.9891446947480332
31,1922-08-01,1.3588323676952172,-0.7652385495726226
32,1922-09-01,4.173292668013605,0.0
33,1922-10-01,6.273421537385696,0.0
34,1922-11-01,6.546749712086422,0.0
35,1922-12-01,3.820182415344106,-1.1146735362222635
36,1923-01-01,10.556187554051824,0.0
37,1923-02-01,13.281922273187533,0.0
38,1923-03-01,17.42948562408079,0.0
39,1923-04-01,13.936982564744412,0.0
40,1923-05-01,10.355284494561229,0.0
41,1923-06-01,5.942439925319043,0.0
42,1923-07-01,0.6418347483394857,-1.723243311739373
43,1923-08-01,2.436064510422549,0.0
44,1923-09-01,3.2672684302796773,0.0
45,1923-10-01,3.813844233430542,-0.1086314470600928
46,1923-11-01,2.129004970321348,-1.185404262689632
47,1923-12-01,10.508482200326366,0.0
48,1924-01-01,10.306501579780102,0.0
49,1924-02-01,11.113433485755836,0.0
50,1924-03-01,5.84164258668714,-0.704876240062747
51,1924-04-01,19.227577279766315,0.0
52,1924-05-01,19.148284665681675,0.0
53,1924-06-01,15.556786336709072,0.0
54,1924-07-01,2.3135397319040982,-0.1506640686037328
55,1924-08-01,1.403099604179044,-0.7185826710711234
56,1924-09-01,1.5674942008981216,-0.8047953222674177
57,1924-10-01,2.521832326926716,-0.6149003115778945
58,1924-11-01,3.503494644156151,-0.6425450270784896
59,1924-12-01,8.649858029419791,0.0
60,1925-01-01,8.615262474067523,-0.2119893097281404
61,1925-02-01,7.73258684688238,-0.4277525014263915
62,1925-03-01,4.501787839151131,-1.0474671859161178
63,1925-04-01,4.277669204746037,-0.7246431797241057
64,1925-05-01,4.37239319301299,-0.4147737036904124
65,1925-06-01,1.980506088351211,-0.7551061419077087
66,1925-07-01,1.240190961890465,-0.9863952590934024
67,1925-08-01,1.0970755567456445,-1.065630182265009
68,1925-09-01,2.4867961192649783,-0.1160923406723824
69,1925-10-01,3.604200370424041,-0.1816909834320167
70,1925-11-01,4.872936652145807,-0.2373834871266556
71,1925-12-01,6.48993479640676,-0.4214703833373947
72,1926-01-01,6.163045193749893,-0.6552896721496547
73,1926-02-01,5.181656057301534,-0.97243453086801
74,1926-03-01,3.0625869896451534,-1.5103468266486535
75,1926-04-01,2.697208569877739,-1.2859792736384508
76,1926-05-01,2.4051115962514014,-1.1843555044273364
77,1926-06-01,5.71811322085495,0.0
78,1926-07-01,5.940899672926135,0.0
79,1926-08-01,7.0463076909945945,0.0
80,1926-09-01,4.64441587411418,0.0
81,1926-10-01,5.3224897666795705,0.0
82,1926-11-01,4.400477169422368,-0.3669779087914072
83,1926-12-01,3.697850809611383,-1.1539053833047992
84,1927-01-01,5.1419542693683,-0.877171961637021
85,1927-02-01,7.390797132993185,-0.4925909224314586
86,1927-03-01,14.252166924003186,0.0
87,1927-04-01,14.7273795380206,0.0
88,1927-05-01,14.365148726044175,0.0
89,1927-06-01,6.573240218733282,0.0
90,1927-07-01,3.226694707428813,0.0
91,1927-08-01,1.5833176132106688,-0.5386115678780395
92,1927-09-01,5.345798591384847,0.0
93,1927-10-01,5.234809942671598,0.0
94,1927-11-01,7.96355160430288,0.0
95,1927-12-01,25.615399006789048,0.0
96,1928-01-01,26.15621463820246,0.0
97,1928-02-01,23.49458403552461,0.0
98,1928-03-01,3.666915717154039,-1.2999524150243518
99,1928-04-01,5.3980480457670765,-0.4116850578303625
100,1928-05-01,5.078365597704694,-0.199484345611478
101,1928-06-01,3.5690947394999064,0.0
102,1928-07-01,1.5145982327656935,-0.7352125241926424
103,1928-08-01,1.7057121413754777,-0.4243569653403183
104,1928-09-01,1.8029572937832103,-0.6061469478582194
105,1928-10-01,2.182629689840144,-0.7774957814780935
106,1928-11-01,5.90837093144523,0.0
107,1928-12-01,6.7885532929236,-0.3574142897819709
108,1929-01-01,7.728086571621658,-0.3608272900133042
109,1929-02-01,6.261620589750693,-0.7229052017027318
110,1929-03-01,5.465654288656592,-0.794840972922953
111,1929-04-01,4.7349715120654725,-0.5906943059722842
112,1929-05-01,3.224691399344689,-0.8234901202586612
