,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,2.8772058656229778,0.1132758214812196,0.1132758214812196
1219,1219,2021.0,August,6.870238659649911,0.270481836994091,0.270481836994091
1220,1220,2021.0,September,8.424162204448994,0.3316599293090155,0.3316599293090155
1221,1221,2021.0,October,15.47911010832476,0.6094137837923135,0.6094137837923135
1222,1222,2021.0,November,12.939633070364506,0.5094343728489963,0.5094343728489963
1223,1223,2021.0,December,247.74285662950143,9.753655772815016,9.753655772815016
1224,1224,2022.0,January,9.057213661938729,0.3565832150369578,0.3565832150369578
1225,1225,2022.0,February,15.6748254256841,0.6171191112474055,0.6171191112474055
1226,1226,2022.0,March,9.080629766340088,0.357505108911027,0.357505108911027
1227,1227,2022.0,April,6.906801151806081,0.2719213051892158,0.2719213051892158
1228,1228,2022.0,May,20.153492476107807,0.7934445856735358,0.7934445856735358
1229,1229,2022.0,June,0.7950167522142978,0.0312998721344211,0.0312998721344211
