"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.5,2.6,2.3,1.3,1,0.6,0.6,0.6,0.6,1.2,2.6,3.5,20
"Min TA [°F]",62.1,62,62.8,64.2,65.6,67.4,68.4,69.1,68.5,67.7,66,63.6,65.6
"Mean TA [°F]",69,69,69.8,71.2,72.9,74.7,75.5,76.2,75.6,75.2,72.7,70.3,72.7
"Max TA [°F]",78,77.9,78.4,79.4,80.9,82.7,83.6,84.3,84.4,83.5,81,78.7,81.1
"RH [%]",77,76,76,76,76,75,75,75,75,76,76,76,76
"CF [%]",42,43,47,51,51,47,47,43,38,46,45,40,45
"ET [in]",2,2,2,2,2,1,1,1,1,1,2,2,20
"SM [%]",48,47,43,38,32,27,22,22,23,29,40,46,35
"S [W m/2]",170,197,219,234,227,231,225,225,220,190,170,165,206
