"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",595.6,20,72.7,81.1,65.6,76,0.35,206,20,0.45,4.5,15.7,"Rs48_MA"
"Max",2235.1,41,74.9,83.2,68,85,1,223,68,0.48,12.5,28.2,NA
"Min",8.9,12,67,75.7,59.6,70,0.18,196,3,0.48,1.7,10.4,NA
