"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-03","27","-0.4","-1.13","-10.7"
"1924-03","1927-05","25","-0.55","-1.33","-13.8"
"1927-06","1929-02","8","-0.35","-1.25","-2.77"
"1929-03","1932-03","19","-0.49","-1.52","-9.4"
"1932-08","1943-01","67","-0.58","-1.23","-38.73"
"1944-01","1946-01","13","-0.45","-1.66","-5.85"
"1946-04","1948-02","21","-0.47","-1.36","-9.97"
"1949-09","1954-11","32","-0.86","-2.09","-27.56"
"1957-02","1961-01","23","-0.43","-1.19","-9.85"
"1961-03","1974-01","37","-0.63","-1.5","-23.36"
"1975-01","1979-01","41","-0.63","-1.71","-25.65"
"1981-02","1982-01","11","-0.89","-1.19","-9.83"
"1983-09","1997-01","88","-0.64","-1.96","-55.9"
"1998-01","2002-08","55","-1.56","-2.65","-86.01"
"2003-07","2004-01","6","-0.56","-1.14","-3.36"
"2005-02","2018-02","146","-0.92","-2.19","-134.27"
"2019-11","2019-12","2","-0.04","-0.05","-0.09"
