,Year,Month,RF_mm,RF_in
0,1920.0,1.0,157.51903065141425,6.20153663981946
1,1920.0,2.0,135.05437074224633,5.317101210324659
2,1920.0,3.0,663.1836349303463,26.10959192639159
3,1920.0,4.0,180.97774459655025,7.125108054982293
4,1920.0,5.0,36.25501693587705,1.4273628714912225
5,1920.0,6.0,96.54621735538345,3.801032179345805
6,1920.0,7.0,181.54107224797627,7.147286308975445
7,1920.0,8.0,188.20342723432793,7.40958374938299
8,1920.0,9.0,288.3537250197077,11.352508859043612
9,1920.0,10.0,522.2698595897261,20.56180549565851
10,1920.0,11.0,215.8432794593903,8.497766907850012
11,1920.0,12.0,319.365386595209,12.573440417134213
12,1921.0,1.0,1022.6695861816406,40.26258213313546
13,1921.0,2.0,129.51655256891826,5.0990768727920575
14,1921.0,3.0,182.97420731510024,7.203708949413396
15,1921.0,4.0,274.0736469130918,10.790301059570544
16,1921.0,5.0,97.98689559568842,3.8577517951058438
17,1921.0,6.0,91.41262771422605,3.5989223509537815
18,1921.0,7.0,231.54216895046005,9.115833423246459
19,1921.0,8.0,286.17276230777605,11.266644185345514
20,1921.0,9.0,188.8229682646602,7.43397512852993
21,1921.0,10.0,339.61080748776357,13.370504231801716
22,1921.0,11.0,663.0453950813018,26.104149412649676
23,1921.0,12.0,457.5178423042757,18.01251347654629
24,1922.0,1.0,623.7952413903662,24.55886777127426
25,1922.0,2.0,510.1023197403873,20.08276849371604
26,1922.0,3.0,1101.6959996970304,43.3738582557886
27,1922.0,4.0,357.65259211896415,14.080810713345047
28,1922.0,5.0,211.94520026517202,8.344299223038268
29,1922.0,6.0,71.1390782091991,2.80075111059839
30,1922.0,7.0,177.03874656953008,6.970029392501185
31,1922.0,8.0,225.73430523240424,8.887177371354499
32,1922.0,9.0,443.6449307361281,17.466335855753076
33,1922.0,10.0,235.57387680605234,9.27456207897844
34,1922.0,11.0,473.99795256465313,18.661336715143825
35,1922.0,12.0,97.10211443613811,3.82291789118654
36,1923.0,1.0,1099.4744939229574,43.28639739854163
37,1923.0,2.0,238.78987682296568,9.401176252872665
38,1923.0,3.0,580.765489325466,22.864783044309686
39,1923.0,4.0,589.0144748917545,23.189546255580886
40,1923.0,5.0,257.58101727589064,10.140984932121679
41,1923.0,6.0,244.4585574965879,9.62435265734598
42,1923.0,7.0,325.8367009909756,12.82821657444786
43,1923.0,8.0,330.0535758144884,12.994235268286946
44,1923.0,9.0,480.7318931487669,18.926452486171925
45,1923.0,10.0,417.6405323442206,16.442540643473254
46,1923.0,11.0,219.38397042148085,8.637164189822082
47,1923.0,12.0,908.1972167233387,35.75579593398972
48,1924.0,1.0,99.49870107260095,3.9172716957716913
49,1924.0,2.0,236.89607202001366,9.326617008661955
50,1924.0,3.0,219.1905476213938,8.629549118952513
51,1924.0,4.0,626.7840495281908,24.67653738299964
52,1924.0,5.0,172.2809847176793,6.782715933766902
53,1924.0,6.0,110.27838364566665,4.341668647467191
54,1924.0,7.0,348.11549359057324,13.705334393329656
55,1924.0,8.0,306.01158417851093,12.047700164508305
56,1924.0,9.0,217.06576859807393,8.545896401498974
57,1924.0,10.0,608.8818914574313,23.97172801013509
58,1924.0,11.0,229.09256073365728,9.019392154868397
59,1924.0,12.0,103.33292269419475,4.0682253029210536
60,1925.0,1.0,309.6076974524073,12.18927942726013
61,1925.0,2.0,55.98335640688977,2.20406914987755
62,1925.0,3.0,688.7604701030685,27.116553941065693
63,1925.0,4.0,304.03219953789767,11.969771635350302
64,1925.0,5.0,301.69779140977977,11.877865803534638
65,1925.0,6.0,225.91427557152437,8.89426281777655
66,1925.0,7.0,122.1661583774061,4.809691274701028
67,1925.0,8.0,415.4830855404038,16.357601792929284
68,1925.0,9.0,290.24063220656063,11.42679654356538
69,1925.0,10.0,159.59772978633282,6.2833751884383
70,1925.0,11.0,276.19277972485645,10.87373148523057
71,1925.0,12.0,39.64659256532968,1.5608894710759715
72,1926.0,1.0,98.77782568874129,3.888890775147295
73,1926.0,2.0,203.33667084107915,8.00538074177477
74,1926.0,3.0,50.52618589745947,1.989219917222814
75,1926.0,4.0,88.36077081151755,3.478770504390455
76,1926.0,5.0,172.71340767734023,6.799740459737805
77,1926.0,6.0,93.29892528487976,3.673186034837786
78,1926.0,7.0,134.35193491556558,5.28944625651833
79,1926.0,8.0,435.29816519495955,17.137723039171636
80,1926.0,9.0,216.96497060017413,8.541927976384809
81,1926.0,10.0,173.73269598168062,6.839869920538607
82,1926.0,11.0,143.09260393625283,5.633567084104443
83,1926.0,12.0,387.154955944383,15.24232110017256
84,1927.0,1.0,386.65384389118975,15.2225922791807
85,1927.0,2.0,68.99489469413298,2.716334436776889
86,1927.0,3.0,461.683129551899,18.176501163460593
87,1927.0,4.0,291.81173007459523,11.488650790338395
88,1927.0,5.0,285.0415673313371,11.222108950052641
89,1927.0,6.0,156.74097837884742,6.170904660584545
90,1927.0,7.0,335.59884698706935,13.212553030986983
91,1927.0,8.0,355.13388962343515,13.981649197773038
92,1927.0,9.0,322.38713974550546,12.692407076594703
93,1927.0,10.0,206.3772219002965,8.125087476389625
94,1927.0,11.0,349.9435119628906,13.777303620586245
95,1927.0,12.0,1196.4715598232774,47.105179520601475
96,1928.0,1.0,220.1829708053405,8.66862089784805
97,1928.0,2.0,172.16673361536968,6.778217858872822
98,1928.0,3.0,113.76994769544487,4.479131799033262
99,1928.0,4.0,157.21776801419546,6.189675906070687
100,1928.0,5.0,251.34344785759248,9.895411332976083
101,1928.0,6.0,177.23898076436606,6.977912628518349
102,1928.0,7.0,355.1041230351092,13.980477284846819
103,1928.0,8.0,247.53128796313183,9.745326297761096
104,1928.0,9.0,335.5615274819983,13.211083759133793
105,1928.0,10.0,338.2917061311653,13.318571107526195
106,1928.0,11.0,220.25277902993813,8.671369253147171
107,1928.0,12.0,641.0943331431193,25.23993437571336
108,1929.0,1.0,295.05218322018544,11.616227685834073
109,1929.0,2.0,386.5511108766119,15.218547672307556
110,1929.0,3.0,441.8928250232375,17.397355315875494
111,1929.0,4.0,317.6745007986046,12.506870110181284
112,1929.0,5.0,104.62819202836738,4.119220158597141
113,1929.0,6.0,95.981841903135,3.778812673351772
114,1929.0,7.0,320.90631930799367,12.63410705936983
115,1929.0,8.0,216.96000772499175,8.541732587598101
116,1929.0,9.0,132.59760601549263,5.220378189586325
117,1929.0,10.0,145.6584501611181,5.734584652012525
118,1929.0,11.0,298.469771419663,11.750778402348939
119,1929.0,12.0,533.073677890272,20.987152672845358
120,1930.0,1.0,179.34551413662462,7.060847013252938
121,1930.0,2.0,169.42160916615683,6.670142093155781
122,1930.0,3.0,366.7279142816383,14.438106861481822
123,1930.0,4.0,670.5112712814147,26.39808154651239
124,1930.0,5.0,285.44570316176817,11.238019809518432
125,1930.0,6.0,458.2307250241199,18.040579725359052
126,1930.0,7.0,217.38399579151567,8.558425031162034
127,1930.0,8.0,507.9916679658086,19.99967196715782
128,1930.0,9.0,411.110398625753,16.185448764793428
129,1930.0,10.0,202.2052574617317,7.960836907942193
130,1930.0,11.0,467.0249120873141,18.38680756249268
131,1930.0,12.0,163.32730130115186,6.430208712643775
132,1931.0,1.0,61.2524213446192,2.411512651362961
133,1931.0,2.0,236.9795064351645,9.329901828156084
134,1931.0,3.0,85.39001901465726,3.3618117722306007
135,1931.0,4.0,304.2038579733975,11.976529841472342
136,1931.0,5.0,169.35744595814901,6.667615982604293
137,1931.0,6.0,97.36741849600551,3.833362932913603
138,1931.0,7.0,338.0971135518637,13.310909982356838
139,1931.0,8.0,301.0690351738987,11.853111621019636
140,1931.0,9.0,480.9149521057864,18.933659531723876
141,1931.0,10.0,331.69610945000704,13.058901946850671
142,1931.0,11.0,422.5013256762401,16.633910459694494
143,1931.0,12.0,203.36340938705996,8.006433440435432
144,1932.0,1.0,649.026275267084,25.552215561696222
145,1932.0,2.0,867.7338087702371,34.16274837678099
146,1932.0,3.0,164.54905774219927,6.4783093599291055
147,1932.0,4.0,341.3122409682676,13.4374898019003
148,1932.0,5.0,338.93409655467576,13.343862069081723
149,1932.0,6.0,188.3673181189112,7.416036146413827
150,1932.0,7.0,304.6331281547087,11.993430242311366
151,1932.0,8.0,137.45810359357353,5.411736361951714
152,1932.0,9.0,153.26590195621353,6.034090628197383
153,1932.0,10.0,81.37277947850974,3.2036527353743995
154,1932.0,11.0,233.54737109448536,9.194778389546668
155,1932.0,12.0,396.38061192524003,15.605535902568507
156,1933.0,1.0,620.5923153061465,24.432768319139626
157,1933.0,2.0,317.60948714290754,12.504310517437306
158,1933.0,3.0,207.83293528729175,8.18239902705873
159,1933.0,4.0,286.6312652955572,11.284695484077057
160,1933.0,5.0,225.5322546901473,8.879222625596352
161,1933.0,6.0,159.32548320724302,6.272656819182797
162,1933.0,7.0,126.00148952438171,4.960688563952036
163,1933.0,8.0,122.11742327586714,4.807772569916029
164,1933.0,9.0,195.30547194883047,7.689191809009074
165,1933.0,10.0,97.36823700135012,3.8333951575334697
166,1933.0,11.0,90.6368557114199,3.5683801461188938
167,1933.0,12.0,94.29151521246118,3.7122643784433538
168,1934.0,1.0,378.0879450418863,14.885352167003399
169,1934.0,2.0,146.2750674328172,5.758860922551858
170,1934.0,3.0,123.66661600319736,4.868764409574699
171,1934.0,4.0,283.318894719503,11.154287193681222
172,1934.0,5.0,397.2136193700584,15.638331471262141
173,1934.0,6.0,286.9466140930911,11.29711079106658
174,1934.0,7.0,235.37854628965079,9.266871901167354
175,1934.0,8.0,165.3502977669957,6.509854242795107
176,1934.0,9.0,332.099115578525,13.07476832986319
177,1934.0,10.0,406.7548931075866,16.013972169590026
178,1934.0,11.0,318.65751169963056,12.54557132675711
179,1934.0,12.0,331.3054572415639,13.043521938644249
180,1935.0,1.0,254.56114601227173,10.022092362687864
181,1935.0,2.0,619.5616057981928,24.39218920465326
182,1935.0,3.0,257.77311789271346,10.148547948532027
183,1935.0,4.0,331.25972279008613,13.041721369688432
184,1935.0,5.0,122.56601443922663,4.825433639339631
185,1935.0,6.0,201.63840355930557,7.938519825169511
186,1935.0,7.0,252.47078998979316,9.93979488148792
187,1935.0,8.0,201.77248943282896,7.943798796568069
188,1935.0,9.0,232.69236884059677,9.161116883488063
189,1935.0,10.0,243.49752053869776,9.586516556641644
190,1935.0,11.0,454.0781242646367,17.87709150648176
191,1935.0,12.0,128.7956291566412,5.070694061285088
192,1936.0,1.0,140.05424766080924,5.513946758299577
193,1936.0,2.0,66.86676046072719,2.6325496244380786
194,1936.0,3.0,434.8016271016684,17.118174295341277
195,1936.0,4.0,378.3318185461573,14.894953486069186
196,1936.0,5.0,323.5324874326407,12.737499505222077
197,1936.0,6.0,162.9567715748247,6.4156209281427055
198,1936.0,7.0,380.98772274155215,14.999516643368196
199,1936.0,8.0,653.62549048734,25.733287027060634
200,1936.0,9.0,397.01921963978964,15.630677938574395
201,1936.0,10.0,486.4628775723009,19.152081794185076
202,1936.0,11.0,257.8763639151332,10.1526127525643
203,1936.0,12.0,989.0210233021932,38.93783556307847
204,1937.0,1.0,663.5124802187265,26.122538591288446
205,1937.0,2.0,391.0382383415498,15.395206233919284
206,1937.0,3.0,704.0410678357963,27.718152276999856
207,1937.0,4.0,285.7006888332137,11.248058615480854
208,1937.0,5.0,365.1347628673875,14.375384364857776
209,1937.0,6.0,163.60570231977715,6.4411693826683925
210,1937.0,7.0,428.89732085078595,16.88572129333803
211,1937.0,8.0,384.25318504241574,15.128078151276211
212,1937.0,9.0,163.8398529420416,6.450387911104
213,1937.0,10.0,282.9267375900085,11.138847936614509
214,1937.0,11.0,378.4879959290286,14.90110220193026
215,1937.0,12.0,336.1839325686535,13.235587896403683
216,1938.0,1.0,485.81442407814853,19.12655212906097
217,1938.0,2.0,392.75486130312265,15.46278981508357
218,1938.0,3.0,710.2243957519531,27.961590383935164
219,1938.0,4.0,671.5978989198984,26.440862162200727
220,1938.0,5.0,361.0454349747623,14.214387203730801
221,1938.0,6.0,182.7132917656956,7.1934366836888035
222,1938.0,7.0,198.72735843888248,7.823911749562303
223,1938.0,8.0,204.70215652649662,8.059140020728213
224,1938.0,9.0,172.33668168768824,6.784908727861742
225,1938.0,10.0,216.7649974593197,8.534055018083453
226,1938.0,11.0,369.12677829236867,14.532550326471208
227,1938.0,12.0,372.36482385842197,14.660032435370944
228,1939.0,1.0,515.8389258327254,20.308619127272657
229,1939.0,2.0,496.4451393219362,19.54508422527308
230,1939.0,3.0,839.6738332725433,33.0580249319899
231,1939.0,4.0,511.46371974715265,20.13636691917924
232,1939.0,5.0,151.56756242499293,5.9672268671257065
233,1939.0,6.0,251.2538747212973,9.891884831547138
234,1939.0,7.0,309.70774841308594,12.193218441460077
235,1939.0,8.0,212.8087909192924,8.378298855090252
236,1939.0,9.0,173.7346386277532,6.83994640266745
237,1939.0,10.0,206.38617219120624,8.12543985004749
238,1939.0,11.0,313.3303619752447,12.33584102264743
239,1939.0,12.0,102.27928575262966,4.026743533568097
240,1940.0,1.0,46.05979574732034,1.8133777853275723
241,1940.0,2.0,176.6133941282709,6.953283233396492
242,1940.0,3.0,146.80605196665567,5.7797658254588855
243,1940.0,4.0,128.8289663016078,5.072006547307394
244,1940.0,5.0,144.48916010109775,5.6885496102794395
245,1940.0,6.0,126.43918053500623,4.9779204935041825
246,1940.0,7.0,295.2679123476327,11.624720958568219
247,1940.0,8.0,617.3881751370717,24.30662106838865
248,1940.0,9.0,246.20111892884037,9.692957438143322
249,1940.0,10.0,365.4627236975245,14.388296208563958
250,1940.0,11.0,273.7980761240764,10.77945181590852
251,1940.0,12.0,118.91476619674499,4.681683708533268
252,1941.0,1.0,163.67849216690982,6.4440351246814895
253,1941.0,2.0,65.94734865211579,2.596352309138417
254,1941.0,3.0,272.41955989240165,10.7251795233229
255,1941.0,4.0,164.04582361428135,6.458496992688242
256,1941.0,5.0,426.93627506853585,16.80851476647779
257,1941.0,6.0,269.7291894016496,10.619259425261795
258,1941.0,7.0,218.4218910860728,8.599287050632787
259,1941.0,8.0,395.78717316776874,15.5821721719594
260,1941.0,9.0,377.18542737845917,14.84981997552989
261,1941.0,10.0,684.3175817282803,26.94163707591655
262,1941.0,11.0,252.54340279820454,9.94265365347262
263,1941.0,12.0,352.1849720047181,13.86555007892591
264,1942.0,1.0,42.78137356401926,1.68430604582753
265,1942.0,2.0,166.0648967329278,6.537988060351489
266,1942.0,3.0,1114.7317740199078,43.88707771731921
267,1942.0,4.0,461.1488397437406,18.155466131643333
268,1942.0,5.0,261.22000995314266,10.284252360359948
269,1942.0,6.0,205.39685895069536,8.086490509869897
270,1942.0,7.0,160.13527771363775,6.304538492662904
271,1942.0,8.0,320.44914006612385,12.616107876619049
272,1942.0,9.0,162.09086002211973,6.3815299221306985
273,1942.0,10.0,280.3494093561747,11.03737832110924
274,1942.0,11.0,135.84571723478385,5.3482565840466085
275,1942.0,12.0,316.69913013871894,12.468469690500747
276,1943.0,1.0,213.9284594432417,8.422380293041012
277,1943.0,2.0,219.6370683233422,8.64712867414733
278,1943.0,3.0,229.9618968733822,9.053617987141031
279,1943.0,4.0,249.50391810773368,9.82298890187928
280,1943.0,5.0,162.62098188285367,6.402400861529673
