,Month,RF_in,rolledMonth,RF
0,January,9.97427024520974,July,6.283120226215225
1,February,7.683548486049763,August,4.346030677696957
2,March,10.420963954619737,September,5.2367586394249654
3,April,7.431175734287609,October,7.623520959220027
4,May,5.5192034370565395,November,6.755154004136335
5,June,3.667458784912601,December,10.817651734054566
6,July,6.283120226215225,January,9.97427024520974
7,August,4.346030677696957,February,7.683548486049763
8,September,5.2367586394249654,March,10.420963954619737
9,October,7.623520959220027,April,7.431175734287609
10,November,6.755154004136335,May,5.5192034370565395
11,December,10.817651734054566,June,3.667458784912601
