"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",13.2,10.6,12.6,9.8,8.4,6.2,5.5,6.3,6.2,6,9.2,12.3,93
"Min TA [°F]",51.2,51,51.6,52.9,54.3,56.1,56.9,57.6,57.1,56.2,54.8,52.6,54.2
"Mean TA [°F]",58.7,58.4,59,60.3,61.8,63.8,64.5,65.3,64.8,64.1,61.8,59.7,61.9
"Max TA [°F]",68.3,67.8,68.2,68.9,70.4,72.4,73.1,74.2,74.3,73,70.5,68.7,70.5
"RH [%]",82,82,86,89,88,89,87,87,87,87,84,83,86
"CF [%]",51,52,57,56,48,42,42,38,34,46,48,45,46
"ET [in]",2,2,3,3,3,4,3,3,3,3,2,2,35
"SM [%]",69,68,68,67,63,59,55,55,56,56,60,66,62
"S [W m/2]",154,185,205,224,243,269,255,257,244,198,166,158,213
