"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",3422.2,93,61.9,70.5,54.2,86,0.62,213,35,0.46,38.5,67.8,"RS30_MO"
"Max",4149,128,66.3,75.1,58.9,86,0.66,226,46,0.53,50.6,81.4,NA
"Min",1720.9,51,59.1,67.6,51.5,85,0.52,175,20,0.53,20.6,43.2,NA
