"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-09","1926-07","35","-0.37","-1.22","-13"
"1926-12","1934-08","26","-0.38","-1.17","-9.85"
"1941-07","1971-01","80","-0.38","-1.16","-30.13"
"1972-01","1974-06","19","-1.13","-2.15","-21.54"
"1976-02","1978-09","29","-0.7","-1.36","-20.19"
"1981-06","1982-02","8","-0.64","-1","-5.09"
"1983-07","1988-03","54","-0.45","-1.02","-24.09"
"1988-04","1996-11","93","-0.88","-2.12","-81.97"
"1998-03","2004-05","74","-1.65","-2.56","-122.35"
"2005-12","2008-05","29","-0.79","-1.77","-22.98"
"2008-06","2014-10","76","-1.38","-2.83","-104.56"
"2014-11","2019-06","42","-0.76","-1.67","-31.98"
"2014-11","2019-12","0","NaN","Inf","0"
