"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",2004.1,58,66.8,75.7,59.9,84,0.51,165,22,0.58,33.2,24.7,"RS01_BI"
"Max",2950.4,61,70.1,78.4,63.2,86,0.54,169,32,0.6,35.6,25.9,NA
"Min",1055,52,63.9,73.4,56.8,80,0.49,162,17,0.6,28.2,21.3,NA
