"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",326.7,112,72.2,79.7,65.7,73,0.63,208,33,0.6,49.4,62.2,"Rs57_BI"
"Max",502.1,120,72.7,80.3,66.3,75,0.65,218,50,0.62,53.8,65.9,NA
"Min",184.4,103,71.5,79,65,72,0.62,197,25,0.62,44.6,58.6,NA
