"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",10,8.4,12,8.8,7.3,7.1,9,8,9.3,8.7,12.5,10.5,112
"Min TA [°F]",62.7,62.6,63.3,64.5,65.9,67.1,68.2,68.8,68,67.7,66.3,64.2,65.7
"Mean TA [°F]",69.3,69.2,69.8,70.9,72.5,73.6,74.5,75.2,74.5,74.4,72.2,70.1,72.2
"Max TA [°F]",77.5,77.4,77.8,78.3,79.7,80.7,81.6,82.5,82.5,81.8,79.4,77.4,79.7
"RH [%]",75,74,73,73,73,73,73,73,72,73,75,74,73
"CF [%]",55,64,69,64,63,62,57,55,51,60,62,60,60
"ET [in]",2,2,3,3,3,3,3,3,3,3,2,2,33
"SM [%]",65,64,66,66,61,59,61,62,62,63,66,67,63
"S [W m/2]",166,181,202,224,239,238,253,245,238,192,161,151,208
