"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.5,2.3,2.5,1.4,0.8,0.4,0.5,0.3,0.6,1.6,2.4,2.7,19
"Min TA [°F]",62.5,62.5,63.3,64.7,66.1,67.8,68.8,69.6,69,68.2,66.5,64.1,66.1
"Mean TA [°F]",69.6,69.5,70.3,71.7,73.3,75.2,76,76.8,76.1,75.7,73.2,70.9,73.2
"Max TA [°F]",78.4,78.4,78.9,79.9,81.3,83.1,84.1,84.8,84.8,83.9,81.5,79.3,81.6
"RH [%]",76,75,75,75,75,74,74,74,74,75,76,75,75
"CF [%]",40,42,49,48,46,38,38,35,28,40,41,38,40
"ET [in]",2,2,2,2,1,1,1,0,1,1,2,2,15
"SM [%]",43,43,40,35,25,14,10,6,8,25,36,40,27
"S [W m/2]",177,208,223,251,252,272,263,264,250,210,181,170,227
